Title,Video url,Duration in minutes
Sia - Cheap Thrills (Karaoke Version),https://www.youtube.com/watch?v=LqrqgALM1Ug,3.98
Harry Styles - Sign Of The Times (Karaoke Version),https://www.youtube.com/watch?v=vAjEtYdqhTA,6.1
Nicki Minaj - Super Bass (Karaoke Version),https://www.youtube.com/watch?v=20GjgF_3faw,3.72
Gloria Gaynor - I Will Survive (Karaoke Version),https://www.youtube.com/watch?v=FsUa8P-L2Ag,3.83
Madison Beer - Reckless (Karaoke Version),https://www.youtube.com/watch?v=xbUHj4bQ5Ew,3.68
3 Doors Down - Here Without You (Karaoke Version),https://www.youtube.com/watch?v=OzmFgCQftmc,4.25
Billie Eilish - Ocean Eyes (Karaoke Version),https://www.youtube.com/watch?v=rqF-W9QBHUQ,3.67
Billie Eilish - Ocean Eyes (Karaoke Version),https://www.youtube.com/watch?v=rqF-W9QBHUQ,3.67
Lady Gaga - Bad Romance (Karaoke Version),https://www.youtube.com/watch?v=Ep0-h-rGHRk,5.37
Ruth B - Dandelions (Karaoke Version),https://www.youtube.com/watch?v=UjejKDLIrRk,4.17
Conan Gray - Heather (Karaoke Version),https://www.youtube.com/watch?v=WwUYq7kr9dU,3.63
Stevie Wonder - I Just Called To Say I Love You (Karaoke Version),https://www.youtube.com/watch?v=x-ufoMYaVYE,4.9
Lana Del Rey - Young And Beautiful (Karaoke Version),https://www.youtube.com/watch?v=w54NfoUuhXo,4.23
Lady A - Need You Now (Karaoke Version),https://www.youtube.com/watch?v=U4j8UroIWqU,4.32
Colbie Caillat - Bubbly (Karaoke Version),https://www.youtube.com/watch?v=X_fmt_y2AzM,3.65
"Ariana Grande, John Legend - Beauty & The Beast (Karaoke Version)",https://www.youtube.com/watch?v=RH43YE20y-0,4.18
Ariana Grande - One Last Time (Karaoke Version),https://www.youtube.com/watch?v=Ca-PCQ2LMk4,3.62
ABBA - Mamma Mia (Karaoke Version),https://www.youtube.com/watch?v=1YN5Emwwoss,3.73
Maroon 5 - Memories (Karaoke Version),https://www.youtube.com/watch?v=KSr0TJH5m-Q,3.62
"Marshmello, Anne Marie - FRIENDS (Karaoke Version)",https://www.youtube.com/watch?v=6ela2HnWEBk,3.68
Whitney Houston - I Wanna Dance With Somebody (Who Loves Me) (Karaoke Version),https://www.youtube.com/watch?v=st-yPBxRVPM,5.45
The Greatest Showman - This Is Me (Karaoke Version),https://www.youtube.com/watch?v=V59psMbygfI,4.22
Paramore - The Only Exception (Karaoke Version),https://www.youtube.com/watch?v=yCXcs2B8du0,4.82
Shawn Mendes - There's Nothing Holding Me Back (Karaoke Version),https://www.youtube.com/watch?v=69mrR_Lc_yA,3.75
Charlie Puth - Attention (Karaoke Version),https://www.youtube.com/watch?v=6I3lHjuNn7g,3.93
Charlie Puth ft. Selena Gomez - We Don't Talk Anymore (Karaoke Version),https://www.youtube.com/watch?v=IUmIIBeYr1I,4.33
Whitney Houston - One Moment In Time (Karaoke Version),https://www.youtube.com/watch?v=TPl0fZ5lK20,5.18
Josh Groban - You Raise Me Up (Karaoke Version),https://www.youtube.com/watch?v=btwJm_mV-84,5.12
Lewis Capaldi - Before You Go (Karaoke Version),https://www.youtube.com/watch?v=5_3hSGhcuo0,3.93
XXXTENTACION - Changes (Karaoke Version),https://www.youtube.com/watch?v=qfmxYHMWjwQ,2.35
Labrinth - Jealous (Karaoke Version),https://www.youtube.com/watch?v=uVAt8WqEJhE,5.05
Oasis - Wonderwall (Karaoke Version),https://www.youtube.com/watch?v=R_EXyGWI9rU,4.85
Céline Dion - Because You Loved Me (Karaoke Version),https://www.youtube.com/watch?v=sPu9jduC1HI,4.97
Mariah Carey - O Holy Night (Karaoke Version),https://www.youtube.com/watch?v=9zYS2GVCWRM,4.8
Whitney Houston - Saving All My Love For You (Karaoke Version),https://www.youtube.com/watch?v=KTxLR8GOUt4,4.17
Birdy - Skinny Love (Karaoke Version),https://www.youtube.com/watch?v=sndK-GAOLPM,3.73
BLACKPINK - How You Like That (Karaoke Version),https://www.youtube.com/watch?v=9F3bo-bu07s,3.35
Alessia Cara - How Far I'll Go (Karaoke Version),https://www.youtube.com/watch?v=z3QKTOUC6H8,3.17
Ronan Keating - When You Say Nothing At All (Karaoke Version),https://www.youtube.com/watch?v=p8p0z_w0Juk,4.58
Angeline Quinto - Till I Met You (Karaoke Version),https://www.youtube.com/watch?v=6bYMHkKGR5Y,4.15
